Reporting starts,Reporting ends,Ad name,Ad delivery,Ad set name,Bid,Bid type,Ad set budget,Ad set budget type,Last significant edit,Attribution setting,Results,Result indicator,Reach,Impressions,Frequency,"CPM (cost per 1,000 impressions) (NOK)",Cost per results,Purchases,Quality ranking,Engagement rate ranking,Conversion rate ranking,Purchase ROAS (return on ad spend),Amount spent (NOK),Ends
2025-11-11,2025-11-18,Ad_01,active,AdSet_01,0,ABSOLUTE_OCPM,800,Daily,2025-10-24T14:16:42+0100,"7-day click, 1-day view, or 1-day engaged-view",84,actions:offsite_conversion.fb_pixel_purchase,274260,477737,1.741911,24.32,138.34,84,Above average,Average,Below average - Bottom 35% of ads,2.11,11620.43,Ongoing
2025-11-11,2025-11-18,Ad_02,active,AdSet_02,0,ABSOLUTE_OCPM,800,Daily,2025-10-25T14:12:42+0100,"7-day click, 1-day view, or 1-day engaged-view",12,actions:offsite_conversion.fb_pixel_purchase,183709,486638,2.648956,10.89,441.56,12,Below average - Bottom 35% of ads,Average,Average,0.85,5298.7,Ongoing
2025-11-11,2025-11-18,Ad_03,active,AdSet_03,0,ABSOLUTE_OCPM,800,Daily,2025-10-30T14:42:42+0100,"7-day click, 1-day view, or 1-day engaged-view",79,actions:offsite_conversion.fb_pixel_purchase,86023,171705,1.996027,84.42,183.49,79,Average,Above average,Average,2.2,14495.39,Ongoing
2025-11-11,2025-11-18,Ad_04,active,AdSet_04,0,ABSOLUTE_OCPM,800,Daily,2025-10-11T14:58:42+0100,"7-day click, 1-day view, or 1-day engaged-view",78,actions:offsite_conversion.fb_pixel_purchase,192496,382112,1.985035,46.1,225.85,78,Average,Average,Below average - Bottom 35% of ads,1.76,17616.31,Ongoing
2025-11-11,2025-11-18,Ad_05,active,AdSet_05,0,ABSOLUTE_OCPM,800,Daily,2025-10-24T14:34:42+0100,"7-day click, 1-day view, or 1-day engaged-view",10,actions:offsite_conversion.fb_pixel_purchase,193447,322928,1.669331,43.85,1416.16,10,Below average - Bottom 35% of ads,Average,Above average,0.72,14161.59,Ongoing
2025-11-11,2025-11-18,Ad_06,active,AdSet_06,0,ABSOLUTE_OCPM,800,Daily,2025-10-27T14:42:42+0100,"7-day click, 1-day view, or 1-day engaged-view",45,actions:offsite_conversion.fb_pixel_purchase,95920,107604,1.121809,133.62,319.5,45,Average,Above average,Average,1.95,14377.7,Ongoing
2025-11-11,2025-11-18,Ad_07,active,AdSet_07,0,ABSOLUTE_OCPM,800,Daily,2025-10-15T14:19:42+0100,"7-day click, 1-day view, or 1-day engaged-view",70,actions:offsite_conversion.fb_pixel_purchase,274330,595568,2.170984,39.54,336.38,70,Above average,Below average - Bottom 20% of ads,Average,2.14,23546.45,Ongoing
2025-11-11,2025-11-18,Ad_08,active,AdSet_08,0,ABSOLUTE_OCPM,800,Daily,2025-10-18T14:37:42+0100,"7-day click, 1-day view, or 1-day engaged-view",76,actions:offsite_conversion.fb_pixel_purchase,58688,83830,1.428401,192.2,212.0,76,Average,Average,Below average - Bottom 35% of ads,2.49,16112.0,Ongoing
2025-11-11,2025-11-18,Ad_09,active,AdSet_09,0,ABSOLUTE_OCPM,800,Daily,2025-10-12T14:44:42+0100,"7-day click, 1-day view, or 1-day engaged-view",68,actions:offsite_conversion.fb_pixel_purchase,270417,335572,1.240939,26.84,132.44,68,Above average,Below average - Bottom 20% of ads,Average,2.02,9005.69,Ongoing
2025-11-11,2025-11-18,Ad_10,active,AdSet_10,0,ABSOLUTE_OCPM,800,Daily,2025-10-10T14:50:42+0100,"7-day click, 1-day view, or 1-day engaged-view",89,actions:offsite_conversion.fb_pixel_purchase,84906,201771,2.376385,76.66,173.79,89,Average,Average,Average,2.1,15467.32,Ongoing
2025-11-11,2025-11-18,Ad_11,active,AdSet_11,0,ABSOLUTE_OCPM,800,Daily,2025-10-12T14:50:42+0100,"7-day click, 1-day view, or 1-day engaged-view",38,actions:offsite_conversion.fb_pixel_purchase,70415,94693,1.344773,66.47,165.63,38,Below average - Bottom 35% of ads,Above average,Below average - Bottom 35% of ads,0.72,6294.02,Ongoing
2025-11-11,2025-11-18,Ad_12,active,AdSet_12,0,ABSOLUTE_OCPM,800,Daily,2025-10-27T14:31:42+0100,"7-day click, 1-day view, or 1-day engaged-view",64,actions:offsite_conversion.fb_pixel_purchase,52284,138915,2.656899,124.53,270.3,64,Average,Average,Above average,1.27,17299.14,Ongoing
2025-11-11,2025-11-18,Ad_13,active,AdSet_13,0,ABSOLUTE_OCPM,800,Daily,2025-10-24T14:57:42+0100,"7-day click, 1-day view, or 1-day engaged-view",138,actions:offsite_conversion.fb_pixel_purchase,201747,268572,1.331227,95.7,186.26,138,Below average - Bottom 35% of ads,Above average,Average,4.53,25703.5,Ongoing
2025-11-11,2025-11-18,Ad_14,active,AdSet_14,0,ABSOLUTE_OCPM,800,Daily,2025-10-26T14:45:42+0100,"7-day click, 1-day view, or 1-day engaged-view",29,actions:offsite_conversion.fb_pixel_purchase,195163,224055,1.148039,79.12,611.25,29,Below average - Bottom 35% of ads,Average,Below average - Bottom 35% of ads,0.77,17726.15,Ongoing
2025-11-11,2025-11-18,Ad_15,active,AdSet_15,0,ABSOLUTE_OCPM,800,Daily,2025-10-16T14:30:42+0100,"7-day click, 1-day view, or 1-day engaged-view",25,actions:offsite_conversion.fb_pixel_purchase,154492,259260,1.678137,42.44,440.07,25,Average,Below average - Bottom 20% of ads,Above average,0.47,11001.72,Ongoing
2025-11-11,2025-11-18,Ad_16,active,AdSet_16,0,ABSOLUTE_OCPM,800,Daily,2025-10-28T14:24:42+0100,"7-day click, 1-day view, or 1-day engaged-view",24,actions:offsite_conversion.fb_pixel_purchase,241254,576308,2.388796,7.99,191.76,24,Above average,Above average,Average,0.53,4602.35,Ongoing
2025-11-11,2025-11-18,Ad_17,active,AdSet_17,0,ABSOLUTE_OCPM,800,Daily,2025-10-25T14:56:42+0100,"7-day click, 1-day view, or 1-day engaged-view",18,actions:offsite_conversion.fb_pixel_purchase,141535,350348,2.475333,24.09,468.8,18,Below average - Bottom 35% of ads,Above average,Average,0.44,8438.39,Ongoing
2025-11-11,2025-11-18,Ad_18,active,AdSet_18,0,ABSOLUTE_OCPM,800,Daily,2025-10-29T14:50:42+0100,"7-day click, 1-day view, or 1-day engaged-view",132,actions:offsite_conversion.fb_pixel_purchase,302129,507241,1.678887,30.52,117.27,132,Above average,Below average - Bottom 20% of ads,Above average,4.3,15479.82,Ongoing
2025-11-11,2025-11-18,Ad_19,active,AdSet_19,0,ABSOLUTE_OCPM,800,Daily,2025-10-24T14:33:42+0100,"7-day click, 1-day view, or 1-day engaged-view",68,actions:offsite_conversion.fb_pixel_purchase,278905,583989,2.093861,37.16,319.13,68,Below average - Bottom 35% of ads,Above average,Average,1.21,21700.62,Ongoing
2025-11-11,2025-11-18,Ad_20,active,AdSet_20,0,ABSOLUTE_OCPM,800,Daily,2025-10-11T14:36:42+0100,"7-day click, 1-day view, or 1-day engaged-view",108,actions:offsite_conversion.fb_pixel_purchase,71369,176960,2.479483,166.98,273.6,108,Above average,Above average,Average,5.42,29548.62,Ongoing
